UNITNAME,CanBuild,BuiltBy,UnitNumber,DefaultMissionType,wpri_badTargetCategory,ActivateWhenBuilt,Description,MaxDamage,SelfDestructAs,buildangle,FootprintZ,MetalStorage,Copyright,DamageModifier,Version,BMcode,SIDE,BadTargetCategory,StandingFireOrder,Designation,BuildCostEnergy,WorkerTime,Builder,YardMap,Name,firestandorders,ShootMe,FootprintX,EnergyStorage,FrenchName,NoChaseCategory,Category,canattack,Weapon1,NoShadow,EnergyUse,SightDistance,downloadable,ThreeD,ZBuffer,ExplodeAs,BuildCostMetal,NoAutoFire,TEDClass,Corpse,GermanDescription,BuildTime,RadarDistance,ItalianDescription,WaterLine,ItalianName,canguard,Objectname,SoundCategory,GermanName,Frenchdescription,SpanishDescription,canstop,SpanishName,MinWaterDepth,MaxVelocity,StandingMoveOrder,MaxSlope,canpatrol,canmove,Upright,TurnRate,MaxWaterDepth,Acceleration,maneuverleashlength,MovementClass,Weapon3,wspe_badTargetCategory,BrakeRate,EnergyMake,mobilestandorders,SteeringMode,Ovradjust,Digger,canhover,Builddistance,CanReclamate,MetalMake,ImmuneToParalyzer,CantBeTransported,Init_cloaked,Stealth,CloakCost,HideDamage,CanCapture,wsec_badTargetCategory,Weapon2,candgun,Scale,cruisealt,BankScale,amphibious,Canfly,sortbias,selfdestructcountdown,ExtractsMetal,onoffable,transportsize,canload,transportcapacity,transportmaxunits,Floater,Antiweapons,MakesMetal,SonarDistance,PitchScale,IsAirBase,ai_limit,ai_weight,HoverAttack,CloakCostMoving,HealTime,ShowPlayerName,norestrict,mincloakdistance,RadarDistanceJam,PigLatinName,PigLatinDescription,JapaneseName,canbuild,IsFeature,kamikazedistance,kamikaze,TidalGenerator,canland,canresurrect,canrepair,resurrect,istargetingupgrade,Commander,attackrunlength,altfromsealevel,MoveRate1,WindGenerator,
ARMUWMS,,ARMCS ARMCH ARMCOM ARMDECOM ARMCOM_SUP ARMCSA ,298,n/a,n/a,n/a,Increases Metal Storage by 1K,6500,SMALL_BUILDING,8192,4,1000,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,0,ARM,n/a,n/a,AM-WMSF,1255,0,0,oooo oooo oooo oooo,Underwater Metal Storage,n/a,n/a,4,0,Dépôt de Métal Sous-Marin,n/a,ARM BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1,n/a,n/a,n/a,0,128,1,1,1,SMALL_BUILDINGEX,360,0,METAL,armuwms_dead,Größere Metallvorräte,3741,0,Deposito di metallo sottomarino,n/a,Deposito di metallo sub,n/a,ARMUWMS,ARM_MSTOR,U-Metalllager,Augmente Stockage Métal,Incrementa el almacenaje de metal,n/a,Almacén Metal Subacuático,31,n/a,n/a,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMDREAD,,ARMESY ,14,Standby,AIR,1,Battleship (2.5K Energy/Shot),23625,UNIT_BIG_BLAST,n/a,13,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.16875,1,1,ARM,AIR,2,Archangel,3251565,0,0,n/a,Victory,1,1,13,0,n/a,AIR,ARM BIG MOB NAIR NSUB NLND ALL LEV3 CTRL_N CTRL_W,1,CANNON_DREAD_ARM,n/a,20,896,n/a,1,1,UNIT_BIG_BLAST,39015,0,SHIP,armdread_dead,n/a,487735,2688,n/a,0,n/a,1,ARMDREAD,BIG_SHIP,n/a,n/a,n/a,1,n/a,30,1.4,0,n/a,1,1,n/a,64,n/a,0.002,640,BOATD13,ROCKET_DREAD,ALL,0.01,20,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,MOB,VLAUNCH_DREAD_ARM,1,0.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORMLV,CORMINE6 CORMINE3 CORMINE7 CORMINE2 CORMINE5 CORMINE1 ,CORVP ,159,Standby,n/a,n/a,Mine Layer Vehicle (Amphibious),1250,BIG_UNIT,n/a,3,25,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,1,CORE,n/a,n/a,MV-S3,3357,60,1,n/a,Spoiler,n/a,1,3,25,Dispersor,n/a,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV1 CTRL_B,n/a,n/a,n/a,1,256,1,1,1,BIG_UNIT,187,1,CNSTR,cormlv_dead,Legt Landminen,6090,32,Posamine di terra,n/a,Spoiler,0,CORMLV,CORE_CVEHICLE,Spoiler,Poseur de mines,Minas terrestres de superficie,1,Spoiler,n/a,1.8,1,16,1,1,n/a,430,255,0.018,640,TANKDH3,n/a,n/a,0.24,3,1,1,1,n/a,n/a,120,0,0.1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,128,n/a,n/a,limit CORMLV 0,weight CORMLV 0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMASP_UPGRADE,,ARMASP ,25,RepairPatrol,n/a,n/a,Automatically repairs all nearby units,2040,BIG_UNIT,n/a,0,50,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,ARM,n/a,n/a,BOOBS-CV2,5318,150,1,n/a,Unit Repair Tower Upgrade,n/a,1,0,50,n/a,n/a,ARM NAIR NSUB NSHP NEXP NNUK ALL LEV1,n/a,n/a,n/a,0.1,384,n/a,1,1,BIG_UNITEX,265,0,CNSTR,n/a,n/a,6860,n/a,n/a,n/a,n/a,0,ARMASP_UPGRADE,ARM_CVEHICLE,n/a,n/a,n/a,1,n/a,n/a,1,n/a,16,0,0,n/a,250,18,0,384,n/a,n/a,n/a,0.08,n/a,n/a,1,1,n/a,n/a,384,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORECLIPSE,,CORFAB COREPLAT ,92,standby,AIR,n/a,Experimental Radar Jamming/LOS VTOL (500E),4608,UNIT_BLASTSML,n/a,6,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,1,CORE,AIR,2,SB-3-VT,27030,n/a,0,n/a,Eclipse,1,1,6,0,n/a,AIR,CORE AIR MOB NSUB NSHP NSTN FLM NLND NEXP NNUK ALL LEV3 CTRL_P CTRL_W,1,NULL_WEAPON,n/a,500,1344,n/a,1,1,UNIT_BLASTSML,1630,0,VTOL,n/a,n/a,29940,64,n/a,n/a,n/a,1,CORECLIPSE,CORE_BIGVTOL,n/a,n/a,n/a,1,n/a,n/a,4.8,1,n/a,1,1,n/a,180,255,0.075,1280,n/a,n/a,n/a,0.1,0,1,1,1,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,300,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1344,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORMINE6,,CORMLV CORSPY ,199,Standby_Mine,n/a,0,Anti-Matter Mine,8,MINE_ANTIMATTER,n/a,1,0,Copyright 1997 Humongous Entertainment. All rights reserved.,100,1.2,0,CORE,n/a,2,GTK6,32768,0,0,o,M-666,1,n/a,1,0,n/a,n/a,CORE NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1 CTRL_M,0,n/a,n/a,0,64,1,1,1,MINE_ANTIMATTER,1024,0,SPECIAL,n/a,n/a,1200,0,n/a,n/a,n/a,0,CORMINE6,MINE4,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,15,0,0,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORJAMMER,,CORACA CORACK CORACV CORACH CORCOM_SUP ,1057,n/a,n/a,1,Radar Jamming Tower,208,SMALL_BUILDING,8192,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,CORE,n/a,n/a,CS-EWDL,4830,0,0,ooo ooo ooo,Shroud,n/a,n/a,3,0,n/a,n/a,CORE BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_R,n/a,n/a,n/a,125,896,n/a,1,1,SMALL_BUILDINGEX,256,0,SPECIAL,corjammer_dead,n/a,10860,0,n/a,n/a,n/a,n/a,CORJAMMER,CORE_JAM,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,896,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORCSA,CORVP CORFDRAG CORTL CORFHP CORFMKR CORPLAT CORFPUN CORFHLT CORUWMS CORSONAR CORLAB CORFLLT CORUWES CORTIDE CORUWMFUS CORFRT CORSY CORUWMEX CORAPLAT ,CORPLAT ,90,VTOL_Standby,n/a,n/a,Tech Level 1 (Amphibious),400,BIG_UNITEX,n/a,3,25,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,1,CORE,n/a,n/a,CVA-W5,6472,60,1,n/a,Construction Seaplane,n/a,1,3,25,Hydravion de construction,n/a,CORE AIR MOB NSUB NSHP NSTN FLM NLND NEXP NNUK ALL LEV1 CTRL_B,n/a,n/a,n/a,0.1,288,n/a,1,1,BIG_UNIT,266,0,CNSTR,n/a,Tech Level 2,10360,32,Tecnologia Livello 2,n/a,Idrovolante da costruzione,1,CORCSA,CORE_CVTOL,Bau-Wasserflugzeug,Niveau Tech 2,Nivel Tecn. 2,1,Hidroavión de Construcción,n/a,6.3,1,10,1,1,n/a,116,255,0.04,1280,n/a,n/a,n/a,1.7,6,1,1,1,n/a,n/a,150,1,0.2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.8,75,1.5,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMDRAG,,ARMCA ARMCK ARMCV ARMCH ARMCOM ARMDECOM ARMCOM_SUP ARMSPOT ,26,n/a,n/a,n/a,Perimeter Defense,3000,n/a,8192,2,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,0,ARM,n/a,n/a,A-102-C,250,0,0,f,Dragon's Teeth,n/a,n/a,2,0,Dent de dragon,n/a,ARM BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1,n/a,n/a,n/a,0,128,n/a,1,1,n/a,15,0,FORT,DragonsTeeth,Palisadenanlage,520,0,Difesa perimetrale,n/a,Denti del Drago,n/a,ARMDRAG,NONE,Panzersperre,Périmètre de défense,Defensa de perímetro,n/a,Dragon's Teeth,n/a,n/a,n/a,32,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMSBOMBER,,ARMFAB ARMEPLAT ,4031,VTOL_standby,AIR,n/a,Strategic Stealth Bomber (4.8K Energy/Shot),23625,UNIT_BLAST,n/a,5,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,1,ARM,AIR,0,TA-WH,1016145,0,0,n/a,Aurora,1,1,5,0,n/a,n/a,ARM BIG MOB NSUB NSHP NSTN FLM NLND NNUK ALL LEV3 CTRL_P CTRL_Q CTRL_W,1,BOMB_SSB,n/a,0.7,352,n/a,1,1,UNIT_BLAST,17340,0,VTOL,n/a,n/a,266045,48,n/a,n/a,n/a,1,ARMSBOMBER,ARM_BIGVTOL,n/a,n/a,n/a,1,n/a,n/a,6.4,1,10,1,1,n/a,320,255,0.09,1280,n/a,n/a,n/a,0.4,1,1,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,1,440,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,512,1,n/a,n/a,
CORCS,CORVP CORFDRAG CORTL CORTIDE CORPLAT CORFPUN CORFHLT CORFHP CORUWMFUS CORFLLT CORASY CORSONAR CORLAB CORFMKR CORUWMEX CORFRT CORSY CORUWMS CORUWES ,CORSY ,97,Standby,n/a,n/a,Tech Level 1,1150,SMALL_UNIT,n/a,4,25,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,CORE,n/a,n/a,COR-CS1,3563,120,1,n/a,Construction Ship,n/a,1,4,25,Navire de construction,n/a,CORE MOB NAIR NSUB NLND NEXP NNUK ALL LEV1 CTRL_B,n/a,n/a,n/a,0.1,224,n/a,1,1,SMALL_UNITEX,288,0,CNSTR,corcs_dead,Tech Level 1,8304,40,Tecnologia Livello 1,n/a,Nave Costruttrice,1,CORCS,CORE_CSHIP,Konstruktions-Schiff,Niveau Tech 1,Nivel Tecn. 1,1,Buque de Constr.,30,2.1,1,n/a,1,1,n/a,205,n/a,0.008,640,BOATS4,n/a,n/a,0.042,5,1,1,1,n/a,n/a,120,1,0.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORTALOS,,CORGANT ,231,Standby,LEV1,n/a,Experimental Hybrid Missile Kbot,24480,UNIT_BLAST,n/a,4,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.425,1.2,1,CORE,AIR,2,ARM-KL,453825,0,0,n/a,Talos,1,1,4,0,Krogoth,AIR,CORE BIG MOB NAIR NSUB NSHP ALL LEV3 CTRL_G CTRL_K CTRL_W,1,MISSILE_TALOS,n/a,10.2,384,1,1,1,UNIT_BLAST,12120,0,KBOT,cortalos_dead,Experimental-Kbot,151275,40,Kbot sperimentale,n/a,Krogoth,1,CORTALOS,TAAR,Krogoth,Kbot Expérimental,Kbot experimental,1,Krogoth,n/a,1.05,1,17,1,1,1,960,255,0.05,640,TANKSH4,VLAUNCH_TALOS,AIR,0.19,10.2,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORETER,,CORAVP ,102,Standby,MOB,1,Radar Jamming Vehicle,650,SMALL_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,CORE,MOB,n/a,MB-2-S,3514,0,0,n/a,Deleter,n/a,1,3,0,Perturbator,MOB,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV2 CTRL_G CTRL_V CTRL_R,1,NULL_WEAPON,n/a,50,448,n/a,1,1,SMALL_UNITEX,100,0,TANK,coreter_dead,Mobiler Radarstörer,6404,n/a,Crea interferenze radar - mobile,n/a,Deleter,1,CORETER,CORE_VJAM,Deleter,Brouilleur de radar mobile,Distorsionador de radar,1,Deleter,n/a,1.05,1,16,1,1,n/a,512,0,0.031,640,TANKSH3,n/a,n/a,0.014,0,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,448,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORSEAL,,CORAVP ,132,Standby,AIR,1,Amphibious Assault Tank,3945,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,1,CORE,AIR,2,TBA-PS9,6930,0,0,n/a,Croc,1,1,3,0,Amphibiax,AIR,CORE MOB NAIR NSUB NSHP LEV2 NEXP NNUK ALL CTRL_G CTRL_V CTRL_W,1,CANNON_TANK_MEDIUM,0,0.5,320,1,1,1,BIG_UNITEX,442,0,TANK,corseal_dead,Amphibienpanzer,6119,32,Carro armato anfibio,n/a,Crock,1,CORSEAL,CORE_TANK,Crock,Char amphibie,Tanque anfibio,1,Crock,n/a,1.275,1,n/a,1,1,1,360,n/a,0.025,640,TANKDH3,n/a,n/a,0.08,0.5,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
COROMNI,,CORECV CORECA CORECK CORECH ,82514,n/a,n/a,1,Experimental Omni Sensor Tower,2760,ATOMIC_BLASTSML,4096,5,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,3.1,0,CORE,n/a,n/a,Argo V,68805,0,0,ooooo ooooo ooooo ooooo ooooo,Argus,n/a,n/a,5,0,n/a,n/a,CORE BLDG NAIR NSUB NSHP NLND ALL LEV3 CTRL_R,n/a,n/a,n/a,1000,1792,n/a,1,1,ATOMIC_BLAST,2515,0,SPECIAL,coromni_dead,n/a,56650,7168,n/a,n/a,n/a,n/a,COROMNI,CORE_SHGEN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1792,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORASON,,CORACSUB CORACSA CORACH CORCOM_SUP ,164,n/a,n/a,1,Locates Units,480,LARGE_BUILDING,8192,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1.2,0,CORE,n/a,n/a,FAS-2E,3386,0,0,www www www,Advanced Sonar/Radar Station,n/a,n/a,3,0,Sonar Pro,n/a,CORE NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_R,n/a,n/a,1,125,512,1,1,1,LARGE_BUILDINGEX,190,0,WATER,corason_dead,Verbessertes Sonar,6096,3584,Sonar a lungo raggio,3,Sonar Avanzato,n/a,CORASON,CORE_SONAR,Advanced Sonar,Sonar avancé,Sonar mejorado,n/a,Sonar Avanzado,24,n/a,n/a,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1792,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORSMS,,CORACA CORACK CORACV CORACH CORCOM_SUP ,27,n/a,n/a,1,Increases Metal Storage by 5K,7836,ESTOR_BUILDING,n/a,8,5000,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,CORE,n/a,n/a,AE-ESF,6600,0,0,oooooooo oooooooo oooooooo oooooooo oooooooo oooooooo oooooooo oooooooo,Advanced Metal Storage,n/a,n/a,8,0,n/a,n/a,CORE BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2,n/a,n/a,n/a,0,192,n/a,1,1,ESTOR_BUILDINGEX,1440,0,METAL,corsms_dead,n/a,17550,0,n/a,n/a,n/a,n/a,CORSMS,CORE_MSTOR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORMAK,,CORLAB ,82,Standby,AIR,n/a,Medium Assault Kbot,660,SMALL_UNIT,n/a,2,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,CORE,AIR,2,KA-L4,3096,0,0,n/a,M.A.K.,1,1,2,0,n/a,AIR,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV1 CTRL_G CTRL_K CTRL_W ,1,LASER_MAK,n/a,0.3,256,n/a,1,1,SMALL_UNITEX,277,0,KBOT,cormak_dead,n/a,4523,24,n/a,n/a,n/a,1,CORMAK,CORAK,n/a,n/a,n/a,1,n/a,n/a,1.35,1,17,1,1,1,900,25,0.06,640,TANKSH2,n/a,n/a,0.18,0.3,1,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMSMB,,ARMECV ARMECA ARMECK ARMECH ,19237,GUARD_NOMOVE,n/a,1,Experimental Missile Tower,16225,ATOMIC_BLASTSML,n/a,5,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,ARM,NEXP,2,A-102-C,270020,0,0,ooooo ooooo ooooo ooooo ooooo,Vanguard,1,1,5,0,n/a,ALL,ARM BLDG NAIR NSUB NSHP NLND NEXP ALL LEV3 CTRL_X,1,RANGE_2688,n/a,0,1536,1,1,1,ATOMIC_BLAST,11040,0,FORT,armsmb_dead,n/a,162555,0,n/a,n/a,n/a,1,ARMSMB,ARM_TARG,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,MISSILE_SMB_ARM,NEXP,n/a,0,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
